Type_id	qualifier_id
1	2,4,5,6,15,23,25,26,29,96,97,106,107,123,124,138,152,155,156,157,168,195,196,198,199,210,218,237,238,240,241,278,279,287
3	211
4	9,152,241,285,286
7	14,167
8	13,14,15,31,32
10	9,14,88,90,92,93,94,139,175,176,177,178,179,180,181,182,183,239
11	1,2,88
12	1,2,14,167,185
13	9,15,16,17,18,19,20,21,24,25,26,29,60,61,62,63,64,65,66,67,68,69,70,71,72,82,89,97,108,160,214,215,263
14	9,15,16,17,18,19,20,21,24,25,26,29,60,61,62,63,64,65,66,67,68,69,70,71,72,82,89,97,108,160,214,215,263
15	9,15,16,17,18,19,20,21,24,25,26,29,60,61,62,63,64,65,66,67,68,69,70,71,72,82,89,97,108,160,214,215,263
16	9,15,16,17,18,19,20,21,24,25,26,29,60,61,62,63,64,65,66,67,68,69,70,71,72,82,89,97,108,160,214,215,263,300
17	31,32,33,34,35,36,37,38,39,40
44	9,13,285,286
51	169,170
58	9,73,75,138,178,179,186,187,188
60	89
77	41,304,305,306,310,311
